region,trending_date,category_title,videos_count
France,2018-04-03,Autos & Vehicles,4
France,2018-04-04,Autos & Vehicles,4
France,2018-04-05,Autos & Vehicles,8
France,2018-04-06,Autos & Vehicles,10
France,2018-04-07,Autos & Vehicles,10
France,2018-04-14,Autos & Vehicles,4
France,2018-04-16,Autos & Vehicles,4
France,2018-04-17,Autos & Vehicles,6
France,2018-04-18,Autos & Vehicles,8
France,2018-04-19,Autos & Vehicles,8
France,2018-04-20,Autos & Vehicles,10
France,2018-04-21,Autos & Vehicles,8
France,2018-04-23,Autos & Vehicles,14
France,2018-04-24,Autos & Vehicles,10
France,2018-04-25,Autos & Vehicles,4
France,2018-04-26,Autos & Vehicles,4
France,2018-04-27,Autos & Vehicles,2
France,2018-04-28,Autos & Vehicles,8
France,2018-04-29,Autos & Vehicles,4
France,2018-04-30,Autos & Vehicles,6
France,2018-05-01,Autos & Vehicles,6
France,2018-05-02,Autos & Vehicles,2
France,2018-05-03,Autos & Vehicles,8
France,2018-05-04,Autos & Vehicles,6
France,2018-05-05,Autos & Vehicles,6
France,2018-05-06,Autos & Vehicles,2
France,2018-05-08,Autos & Vehicles,6
France,2018-05-09,Autos & Vehicles,2
France,2018-05-10,Autos & Vehicles,8
France,2018-05-11,Autos & Vehicles,2
France,2018-05-12,Autos & Vehicles,2
France,2018-05-13,Autos & Vehicles,6
France,2018-05-14,Autos & Vehicles,4
France,2018-05-15,Autos & Vehicles,6
France,2018-05-16,Autos & Vehicles,2
France,2018-05-17,Autos & Vehicles,2
France,2018-05-18,Autos & Vehicles,6
France,2018-05-19,Autos & Vehicles,6
France,2018-05-20,Autos & Vehicles,4
France,2018-05-21,Autos & Vehicles,4
France,2018-05-22,Autos & Vehicles,2
France,2018-05-23,Autos & Vehicles,2
France,2018-05-24,Autos & Vehicles,6
France,2018-05-25,Autos & Vehicles,12
France,2018-05-26,Autos & Vehicles,4
France,2018-05-27,Autos & Vehicles,6
France,2018-05-29,Autos & Vehicles,2
France,2018-05-30,Autos & Vehicles,8
France,2018-05-31,Autos & Vehicles,4
France,2018-06-01,Autos & Vehicles,4
France,2018-06-03,Autos & Vehicles,2
France,2018-06-04,Autos & Vehicles,4
France,2018-06-05,Autos & Vehicles,6
France,2018-06-06,Autos & Vehicles,2
France,2018-06-08,Autos & Vehicles,8
France,2018-06-09,Autos & Vehicles,6
France,2018-06-10,Autos & Vehicles,2
France,2018-06-11,Autos & Vehicles,4
France,2018-06-12,Autos & Vehicles,4
France,2018-06-13,Autos & Vehicles,4
France,2018-06-14,Autos & Vehicles,2
France,2017-11-14,Comedy,46
France,2017-11-15,Comedy,38
France,2017-11-16,Comedy,56
France,2017-11-17,Comedy,62
France,2017-11-18,Comedy,70
France,2017-11-19,Comedy,56
France,2017-11-20,Comedy,50
France,2017-11-21,Comedy,42
France,2017-11-22,Comedy,42
France,2017-11-23,Comedy,50
